business_unit_id,activity_type,quantity,unit,activity_date,source_ref
bu-2,purchased_goods_office_supplies,5245.96,GBP,2025-03-30,INV-1241
bu-5,business_travel_air,4296,km,2024-09-21,TRV-1253
bu-7,electricity,6128.4,kWh,2025-01-19,MET-1054
bu-7,purchased_goods_office_supplies,1809.7,GBP,2024-08-28,INV-1227
bu-8,electricity,3500.7,kWh,2024-06-13,MET-1068
bu-5,business_travel_air,5220,km,2025-01-17,TRV-1255
bu-7,diesel,1206,litres,2024-07-22,FUEL-1147
bu-6,electricity,2779.9,kWh,2024-04-15,MET-1024
bu-5,business_travel_air,15628,km,2024-08-12,TRV-1185
bu-8,business_travel_air,3310,km,2024-09-21,TRV-1274
bu-7,electricity,4881.3,kWh,2025-05-22,MET-1058
bu-7,diesel,1060.8,litres,2024-09-22,FUEL-1151
bu-7,business_travel_air,4055,km,2025-05-12,TRV-1202
bu-7,diesel,1170.4,litres,2025-06-08,FUEL-1168
bu-6,purchased_goods_office_supplies,1482.24,GBP,2025-05-28,INV-1223
bu-5,electricity,4941.4,kWh,2024-08-10,MET-1007
bu-8,business_travel_air,3763,km,2024-12-03,TRV-1275
bu-7,electricity,5302.9,kWh,2025-09-22,MET-1062
bu-6,electricity,2945.1,kWh,2025-01-22,MET-1033
bu-7,diesel,991,litres,2025-05-22,FUEL-1167
bu-6,electricity,2686.5,kWh,2025-06-24,MET-1038
bu-8,natural_gas,180.1,m3,2024-10-23,GAS-1114
bu-7,natural_gas,202.1,m3,2024-11-11,GAS-1106
bu-6,purchased_goods_office_supplies,1546.99,GBP,2025-02-28,INV-1222
bu-8,business_travel_air,2590,km,2024-06-09,TRV-1273
bu-8,purchased_goods_office_supplies,2154.59,GBP,2024-05-28,INV-1233
bu-6,purchased_goods_office_supplies,1595.1,GBP,2025-08-28,INV-1224
bu-5,business_travel_air,3322,km,2024-03-18,TRV-1251
bu-8,purchased_goods_office_supplies,2732.81,GBP,2025-02-28,INV-1236
bu-99,diesel,220,litres,2025-02-14,FUEL-1282
bu-5,business_travel_air,11614,km,2024-02-12,TRV-1183
bu-7,business_travel_air,1411,km,2024-06-09,TRV-1266
bu-6,electricity,2564.7,kWh,2024-03-22,MET-1023
bu-8,electricity,3304.4,kWh,2024-03-22,MET-1065
bu-5,electricity,5218.6,kWh,2024-02-10,MET-1001
bu-5,business_travel_air,13492,km,2024-05-12,TRV-1184
bu-6,natural_gas,297.3,m3,2025-02-07,GAS-1100
bu-6,business_travel_air,2214,km,2024-06-09,TRV-1259
bu-6,business_travel_air,7608,km,2025-02-12,TRV-1194
bu-5,purchased_goods_office_supplies,3472.97,GBP,2025-05-28,INV-1216
bu-5,purchased_goods_office_supplies,3596.58,GBP,2024-05-28,INV-1212
bu-8,natural_gas,396.4,m3,2024-01-05,GAS-1111
bu-5,business_travel_air,5361,km,2024-12-03,TRV-1254
bu-5,electricity,4828.1,kWh,2024-04-17,MET-1003
bu-7,electricity,5190.1,kWh,2024-06-21,MET-1047
bu-6,diesel,99.6,litres,2025-07-15,FUEL-1133
bu-5,purchased_goods_office_supplies,3434.68,GBP,2024-08-28,INV-1213
bu-7,natural_gas,354.2,m3,2024-01-22,GAS-1102
bu-7,natural_gas,414.9,m3,2025-01-14,GAS-1108
bu-8,natural_gas,349.5,m3,2024-02-16,GAS-1112
bu-7,diesel,1046.7,litres,2024-03-22,FUEL-1139
bu-5,business_travel_air,12204,km,2025-08-12,TRV-1189
bu-8,purchased_goods_office_supplies,2372.72,GBP,2025-08-28,INV-1238
bu-6,purchased_goods_office_supplies,1346.33,GBP,2024-08-28,INV-1220
bu-7,diesel,1300.8,litres,2025-01-22,FUEL-1159
bu-7,diesel,1414,litres,2025-08-22,FUEL-1173
bu-6,electricity,3226.5,kWh,2025-02-12,MET-1034
bu-7,purchased_goods_office_supplies,2027.3,GBP,2024-11-28,INV-1228
bu-6,business_travel_air,5963,km,2024-11-12,TRV-1193
bu-8,electricity,3687.9,kWh,2024-01-13,MET-1063
bu-6,diesel,97.9,litres,2024-04-15,FUEL-1128
bu-7,diesel,1095.4,litres,2024-10-22,FUEL-1153
bu-7,purchased_goods_office_supplies,1555.39,GBP,2024-05-28,INV-1226
bu-7,diesel,1232.8,litres,2024-05-22,FUEL-1143
bu-7,diesel,1140.9,litres,2025-04-22,FUEL-1165
bu-7,electricity,6005.5,kWh,2024-02-24,MET-1043
bu-7,diesel,1306,litres,2025-07-22,FUEL-1171
